fips,name,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age04_tot,age04_male,age04_fem,age59_tot,age59_male,age59_fem,age1014_tot,age1014_male,age1014_fem,age1519_tot,age1519_male,age1519_fem,age2024_tot,age2024_male,age2024_fem,age2529_tot,age2529_male,age2529_fem,age3034_tot,age3034_male,age3034_fem,age3539_tot,age3539_male,age3539_fem,age4044_tot,age4044_male,age4044_fem,age4549_tot,age4549_male,age4549_fem,age5054_tot,age5054_male,age5054_fem,age5559_tot,age5559_male,age5559_fem,age6064_tot,age6064_male,age6064_fem,age6569_tot,age6569_male,age6569_fem,age7074_tot,age7074_male,age7074_fem,age7579_tot,age7579_male,age7579_fem,age8084_tot,age8084_male,age8084_fem,age85plus_tot,age85plus_male,age85plus_fem,age517_tot,age1013_tot,age1017_tot,age1019_tot,age18under_tot
51003,Albemarle County,2010,99204,47712,51492,5545,2859,2686,10827,5487,5340,4934,2553,2381,12258,5950,6308,80444,38145,42299,77898,36813,41085,40497,19996,20501,24467,12078,12389,26970,12716,14254,14203,6069,8134,5545,2859,2686,5924,2978,2946,6065,3094,2971,9124,4435,4689,6906,3483,3423,6833,3396,3437,5800,2910,2890,5507,2767,2740,6327,3005,3322,7068,3320,3748,7433,3492,3941,6759,3165,3594,5710,2739,2971,4179,1923,2256,3151,1450,1701,2486,1034,1452,2116,878,1238,2271,784,1487,15761,4903,9837,15189,21306
51003,Albemarle County,2011,100213,48047,52166,5697,2898,2799,10847,5459,5388,4912,2537,2375,12182,5888,6294,81289,38478,42811,78757,37153,41604,40507,19968,20539,24627,12163,12464,27347,12873,14474,14601,6229,8372,5697,2898,2799,5873,2953,2920,6188,3126,3062,9172,4461,4711,6708,3344,3364,6899,3410,3489,5983,2985,2998,5454,2742,2712,6291,3026,3265,6859,3236,3623,7422,3465,3957,6941,3255,3686,6125,2917,3208,4284,1959,2325,3279,1496,1783,2492,1052,1440,2189,908,1281,2357,814,1543,15759,4974,9886,15360,21456
51003,Albemarle County,2012,101464,48561,52903,5688,2896,2792,10880,5453,5427,4987,2554,2433,12355,5959,6396,82404,38936,43468,79909,37658,42251,40974,20169,20805,24890,12295,12595,27284,12817,14467,15380,6587,8793,5688,2896,2792,5903,2964,2939,6235,3128,3107,9324,4540,4784,6760,3334,3426,7054,3508,3546,6072,3019,3053,5474,2706,2768,6290,3062,3228,6743,3192,3551,7280,3391,3889,7049,3299,3750,6212,2935,3277,4762,2208,2554,3431,1561,1870,2585,1084,1501,2166,888,1278,2436,846,1590,15867,4977,9964,15559,21555
51003,Albemarle County,2013,102270,48911,53359,5668,2931,2737,10994,5509,5485,5038,2548,2490,11942,5775,6167,83049,39197,43852,80570,37923,42647,40863,20085,20778,25156,12392,12764,27428,12833,14595,16044,6923,9121,5668,2931,2737,6039,3032,3007,6228,3107,3121,8978,4372,4606,6729,3321,3408,6977,3433,3544,6324,3148,3176,5584,2729,2855,6271,3082,3189,6579,3114,3465,7258,3394,3864,7144,3298,3846,6447,3027,3420,5046,2344,2702,3650,1664,1986,2698,1155,1543,2173,889,1284,2477,871,1606,16032,4955,9993,15206,21700
51003,Albemarle County,2014,103732,49634,54098,5698,2906,2792,11011,5599,5412,5138,2560,2578,12128,5841,6287,84478,39885,44593,81885,38569,43316,41362,20349,21013,25356,12571,12785,27559,12834,14725,16842,7323,9519,5698,2906,2792,6095,3122,2973,6176,3100,3076,9032,4340,4692,6974,3438,3536,7056,3510,3546,6437,3193,3244,5856,2877,2979,6007,2991,3016,6437,3041,3396,7269,3370,3899,7283,3380,3903,6570,3043,3527,5449,2528,2921,3834,1773,2061,2803,1227,1576,2169,859,1310,2587,936,1651,16149,4916,10054,15208,21847
51003,Albemarle County,2015,105117,50387,54730,5788,2979,2809,10922,5601,5321,5184,2564,2620,12529,6045,6484,85847,40550,45297,83223,39243,43980,41887,20572,21315,25450,12592,12858,27652,12921,14731,17592,7685,9907,5788,2979,2809,6023,3094,2929,6175,3136,3039,9200,4395,4805,7237,3585,3652,6991,3416,3575,6594,3327,3267,6031,2937,3094,5834,2912,2922,6525,3100,3425,7095,3335,3760,7345,3397,3948,6687,3089,3598,5798,2713,3085,4020,1848,2172,2960,1308,1652,2132,842,1290,2682,974,1708,16106,4899,10083,15375,21894
51003,Albemarle County,2016,106431,50926,55505,5842,2934,2908,10931,5571,5360,5132,2551,2581,12729,6145,6584,87151,41144,46007,84526,39870,44656,42292,20738,21554,25656,12685,12971,27762,12998,14764,18379,8042,10337,5842,2934,2908,6086,3095,2991,6070,3119,2951,9362,4448,4914,7274,3605,3669,6987,3390,3597,6640,3352,3288,6277,3064,3213,5752,2879,2873,6507,3123,3384,6944,3269,3675,7412,3419,3993,6899,3187,3712,6160,2880,3280,4201,1923,2278,3094,1358,1736,2182,892,1290,2742,989,1753,16063,4845,9977,15432,21905
51003,Albemarle County,2017,107768,51482,56286,5901,2938,2963,10878,5557,5321,5061,2517,2544,12851,6160,6691,88540,41749,46791,85928,40470,45458,42881,21012,21869,26205,12944,13261,27549,12898,14651,19323,8468,10855,5901,2938,2963,6062,3104,2958,6052,3062,2990,9341,4453,4888,7335,3615,3720,7062,3426,3636,6842,3425,3417,6425,3135,3290,5876,2958,2918,6420,3111,3309,6754,3213,3541,7292,3340,3952,7083,3234,3849,6284,2917,3367,4711,2177,2534,3281,1446,1835,2256,918,1338,2791,1010,1781,15939,4816,9877,15393,21840
51003,Albemarle County,2018,108377,51811,56566,5776,2922,2854,10796,5503,5293,5006,2520,2486,12812,6137,6675,89320,42138,47182,86799,40866,45933,43113,21039,22074,26523,13016,13507,27208,12793,14415,20256,8920,11336,5776,2922,2854,5937,3051,2886,6087,3086,3001,9302,4419,4883,7288,3604,3684,6946,3315,3631,6995,3488,3507,6551,3233,3318,6031,2980,3051,6330,3107,3223,6529,3138,3391,7156,3305,3851,7193,3243,3950,6518,3000,3518,4973,2332,2641,3550,1573,1977,2398,1004,1394,2817,1011,1806,15802,4859,9865,15389,21578
51003,Albemarle County,2019,109330,52319,57011,5721,2913,2808,10894,5577,5317,4938,2498,2440,12643,6034,6609,90268,42576,47692,87777,41331,46446,43446,21205,22241,27099,13304,13795,26880,12676,14204,21155,9317,11838,5721,2913,2808,6009,3075,2934,6119,3133,2986,9225,4412,4813,7122,3489,3633,7149,3392,3757,7043,3533,3510,6791,3338,3453,6116,3041,3075,6084,3017,3067,6458,3086,3372,7073,3261,3812,7265,3312,3953,6643,3018,3625,5344,2494,2850,3769,1692,2077,2527,1096,1431,2872,1017,1855,15832,4885,9823,15344,21553
51540,Charlottesville city,2010,43461,20721,22740,2314,1160,1154,2842,1451,1391,1317,695,622,12015,5418,6597,37671,17776,19895,36988,17415,19573,25707,12445,13262,12685,6487,6198,8259,3917,4342,4029,1593,2436,2314,1160,1154,1664,855,809,1488,751,737,2605,1227,1378,10417,4731,5686,5015,2632,2383,3215,1635,1580,2199,1104,1095,2256,1116,1140,2218,1093,1125,2168,1009,1159,2104,1008,1096,1769,807,962,1225,527,698,903,370,533,722,291,431,618,234,384,561,171,390,4159,1178,2495,4093,6473
51540,Charlottesville city,2011,43761,20982,22779,2298,1171,1127,2895,1496,1399,1304,697,607,11326,5190,6136,37932,17986,19946,37264,17618,19646,25555,12431,13124,13224,6691,6533,8648,4115,4533,4066,1622,2444,2298,1171,1127,1680,874,806,1514,769,745,2432,1174,1258,9899,4566,5333,5114,2612,2502,3509,1780,1729,2290,1178,1112,2311,1121,1190,2246,1099,1147,2242,1061,1181,2195,1054,1141,1965,901,1064,1238,548,690,936,383,553,727,284,443,589,222,367,576,185,391,4199,1215,2519,3946,6497
51540,Charlottesville city,2012,44580,21431,23149,2423,1230,1193,2950,1543,1407,1324,709,615,10769,5022,5747,38563,18319,20244,37883,17949,19934,25659,12506,13153,13879,6937,6942,8983,4236,4747,4252,1754,2498,2423,1230,1193,1720,896,824,1543,809,734,2441,1185,1256,9339,4384,4955,5217,2589,2628,3789,1933,1856,2462,1235,1227,2411,1180,1231,2318,1134,1184,2287,1065,1222,2301,1087,1214,2077,950,1127,1363,633,730,988,410,578,718,285,433,586,234,352,597,192,405,4274,1230,2554,3984,6697
51540,Charlottesville city,2013,45012,21698,23314,2467,1242,1225,3052,1600,1452,1341,708,633,10007,4728,5279,38842,18504,20338,38152,18148,20004,25451,12434,13017,14433,7179,7254,9295,4403,4892,4417,1838,2579,2467,1242,1225,1816,942,874,1566,839,727,2422,1173,1249,8596,4082,4514,5502,2707,2795,3890,1970,1920,2625,1322,1303,2416,1180,1236,2387,1166,1221,2336,1081,1255,2341,1122,1219,2231,1034,1197,1470,679,791,1026,435,591,738,296,442,585,240,345,598,188,410,4393,1236,2577,3988,6860
51540,Charlottesville city,2014,45518,21925,23593,2465,1239,1226,3139,1631,1508,1346,728,618,9762,4672,5090,39243,18679,20564,38568,18327,20241,25520,12465,13055,14734,7243,7491,9442,4475,4967,4630,1937,2693,2465,1239,1226,1904,967,937,1557,842,715,2453,1200,1253,8333,4022,4311,5591,2706,2885,3969,1963,2006,2772,1394,1378,2402,1180,1222,2428,1179,1249,2323,1084,1239,2395,1133,1262,2296,1079,1217,1612,740,872,1079,462,617,773,313,460,566,224,342,600,198,402,4485,1235,2581,4010,6950
51540,Charlottesville city,2015,46301,22340,23961,2448,1228,1220,3289,1710,1579,1356,739,617,9522,4587,4935,39914,19053,20861,39208,18663,20545,25737,12594,13143,15177,7434,7743,9624,4599,5025,4885,2043,2842,2448,1228,1220,2029,1040,989,1578,836,742,2430,1208,1222,8130,3952,4178,5648,2748,2900,4175,2062,2113,3016,1475,1541,2338,1149,1189,2468,1189,1279,2382,1135,1247,2406,1153,1253,2368,1122,1246,1814,823,991,1126,477,649,786,322,464,569,219,350,590,202,388,4645,1260,2616,4008,7093
51540,Charlottesville city,2016,46943,22677,24266,2478,1220,1258,3381,1761,1620,1387,742,645,9435,4568,4867,40431,19354,21077,39697,18954,20743,25939,12744,13195,15435,7596,7839,9713,4642,5071,5114,2148,2966,2478,1220,1258,2085,1069,1016,1614,854,760,2481,1241,1240,8023,3907,4116,5598,2737,2861,4261,2096,2165,3167,1555,1612,2409,1208,1201,2458,1187,1271,2426,1152,1274,2402,1143,1259,2427,1160,1267,1994,888,1106,1154,507,647,818,333,485,576,226,350,572,194,378,4768,1296,2683,4095,7246
51540,Charlottesville city,2017,47463,22982,24481,2532,1275,1257,3480,1810,1670,1394,730,664,9375,4518,4857,40791,19559,21232,40057,19167,20890,26072,12836,13236,15621,7744,7877,9741,4658,5083,5320,2247,3073,2532,1275,1257,2161,1095,1066,1637,871,766,2509,1252,1257,7942,3840,4102,5538,2781,2757,4348,2149,2199,3272,1568,1704,2463,1246,1217,2460,1183,1277,2442,1188,1254,2399,1102,1297,2440,1185,1255,2063,908,1155,1279,571,708,825,332,493,577,231,346,576,205,371,4874,1319,2713,4146,7406
51540,Charlottesville city,2018,47506,23036,24470,2576,1295,1281,3603,1865,1738,1343,707,636,9154,4450,4704,40681,19544,21137,39984,19169,20815,25801,12752,13049,15622,7763,7859,9631,4579,5052,5577,2377,3200,2576,1295,1281,2155,1079,1076,1766,954,812,2441,1197,1244,7738,3792,3946,5296,2696,2600,4399,2197,2202,3355,1566,1789,2572,1304,1268,2410,1168,1242,2446,1162,1284,2381,1083,1298,2394,1166,1228,2138,958,1180,1374,598,776,873,368,505,603,237,366,589,216,373,4946,1448,2791,4207,7522
51540,Charlottesville city,2019,47266,22871,24395,2562,1295,1267,3657,1866,1791,1327,707,620,9068,4377,4691,40419,19364,21055,39720,19003,20717,25431,12548,12883,15356,7639,7717,9506,4506,5000,5790,2481,3309,2562,1295,1267,2168,1078,1090,1809,963,846,2392,1171,1221,7683,3738,3945,4984,2524,2460,4437,2238,2199,3340,1593,1747,2595,1284,1311,2364,1148,1216,2411,1163,1248,2348,1056,1292,2383,1139,1244,2165,987,1178,1494,644,850,912,385,527,619,244,375,600,221,379,4984,1489,2816,4201,7546
51003,Albemarle County,2020,112560,54119,58441,5826,2930,2896,11593,5947,5646,5210,2673,2537,13245,6344,6901,92589,43918,48671,89931,42569,47362,45140,22135,23005,27948,13776,14172,27057,12926,14131,21681,9523,12158,5826,2930,2896,6291,3219,3072,6565,3386,3179,9798,4709,5089,7394,3650,3744,7114,3379,3735,7132,3529,3603,7222,3644,3578,6480,3224,3256,6112,3041,3071,6591,3217,3374,7016,3269,3747,7338,3399,3939,6824,3159,3665,5636,2581,3055,3787,1693,2094,2606,1111,1495,2828,979,1849,16803,5302,10512,16363,22629
51003,Albemarle County,2021,113939,54765,59174,5728,2889,2839,11546,5970,5576,5260,2716,2544,13476,6454,7022,94038,44550,49488,91405,43190,48215,45887,22474,23413,28500,13982,14518,26897,12869,14028,22532,9885,12647,5728,2889,2839,6324,3247,3077,6571,3401,3170,9852,4770,5082,7535,3722,3813,7143,3429,3714,7263,3567,3696,7357,3662,3695,6737,3324,3413,6026,2994,3032,6655,3276,3379,6870,3206,3664,7346,3393,3953,6951,3211,3740,6000,2729,3271,3947,1753,2194,2722,1169,1553,2912,1023,1889,16806,5222,10482,16423,22534
51003,Albemarle County,2022,114925,55183,59742,5628,2803,2825,11481,5920,5561,5351,2747,2604,13340,6376,6964,95105,45086,50019,92465,43713,48752,46114,22564,23550,28797,14143,14654,26766,12845,13921,23562,10349,13213,5628,2803,2825,6407,3270,3137,6448,3352,3096,9810,4733,5077,7507,3688,3819,7039,3425,3614,7335,3604,3731,7534,3703,3831,6889,3411,3478,6046,2969,3077,6601,3301,3300,6786,3197,3589,7333,3378,3955,7122,3269,3853,6085,2771,3314,4433,1982,2451,2869,1221,1648,3053,1106,1947,16832,5074,10425,16258,22460
51003,Albemarle County,2023,115857,55652,60205,5529,2760,2769,11352,5847,5505,5319,2754,2565,13346,6375,6971,96328,45666,50662,93657,44291,49366,46630,22874,23756,29246,14418,14828,26606,12763,13843,24459,10735,13724,5529,2760,2769,6423,3280,3143,6210,3240,2970,9891,4788,5103,7493,3668,3825,7093,3483,3610,7403,3648,3755,7586,3731,3855,7164,3556,3608,6171,3002,3169,6534,3271,3263,6643,3152,3491,7258,3338,3920,7256,3308,3948,6277,2858,3419,4683,2107,2576,3047,1276,1771,3196,1186,2010,16671,4929,10248,16101,22200
51003,Albemarle County,2024,117313,56393,60920,5529,2830,2699,11460,5840,5620,5371,2775,2596,13471,6455,7016,97763,46373,51390,94953,44948,50005,47456,23308,24148,29878,14756,15122,26465,12722,13743,25139,11015,14124,5529,2830,2699,6476,3272,3204,6248,3246,3002,9970,4829,5141,7608,3723,3885,7191,3535,3656,7591,3741,3850,7608,3734,3874,7488,3746,3742,6331,3098,3233,6402,3222,3180,6565,3135,3430,7167,3267,3900,7286,3322,3964,6427,2927,3500,5000,2219,2781,3149,1336,1813,3277,1211,2066,16831,4984,10355,16218,22360
51540,Charlottesville city,2020,46434,22469,23965,2438,1255,1183,3611,1842,1769,1302,687,615,9018,4283,4735,39733,19019,20714,39083,18685,20398,24997,12210,12787,15017,7424,7593,9235,4444,4791,5813,2534,3279,2438,1255,1183,2072,1039,1033,1879,987,892,2360,1132,1228,7620,3654,3966,4682,2323,2359,4277,2157,2120,3328,1596,1732,2730,1348,1382,2227,1090,1137,2284,1090,1194,2364,1127,1237,2360,1137,1223,2197,1023,1174,1602,706,896,919,398,521,561,216,345,534,191,343,4913,1539,2841,4239,7351
51540,Charlottesville city,2021,45713,22107,23606,2453,1293,1160,3577,1809,1768,1287,675,612,8838,4196,4642,38993,18634,20359,38396,18330,20066,24182,11802,12380,14415,7124,7291,9099,4370,4729,6044,2640,3404,2453,1293,1160,2005,1004,1001,1930,998,932,2329,1113,1216,7438,3565,3873,4317,2122,2195,4056,2043,2013,3244,1592,1652,2798,1367,1431,2198,1096,1102,2265,1064,1201,2349,1127,1222,2287,1083,1204,2209,1044,1165,1760,760,1000,958,425,533,578,215,363,539,196,343,4864,1572,2859,4259,7317
51540,Charlottesville city,2022,45223,21795,23428,2428,1276,1152,3582,1799,1783,1399,733,666,8772,4168,4604,38443,18311,20132,37814,17987,19827,23654,11503,12151,13895,6823,7072,8919,4252,4667,6228,2744,3484,2428,1276,1152,2025,1017,1008,1969,1003,966,2365,1131,1234,7394,3549,3845,4076,1950,2126,3763,1896,1867,3187,1576,1611,2869,1401,1468,2202,1100,1102,2196,1017,1179,2252,1087,1165,2269,1048,1221,2187,1052,1135,1820,781,1039,1077,480,597,607,233,374,537,198,339,4981,1557,2956,4334,7409
51540,Charlottesville city,2023,45047,21683,23364,2447,1287,1160,3642,1813,1829,1527,794,733,8883,4218,4665,38156,18169,19987,37431,17789,19642,23392,11345,12047,13372,6528,6844,8839,4227,4612,6337,2816,3521,2447,1287,1160,2068,1021,1047,1964,987,977,2518,1209,1309,7502,3608,3894,3857,1865,1992,3513,1762,1751,3165,1553,1612,2837,1348,1489,2276,1126,1150,2176,1032,1144,2150,1043,1107,2237,1026,1211,2127,1035,1092,1872,820,1052,1157,508,649,640,261,379,541,192,349,5169,1574,3101,4482,7616
51540,Charlottesville city,2024,44767,21471,23296,2458,1262,1196,3657,1838,1819,1541,769,772,9008,4247,4761,37890,18008,19882,37111,17602,19509,23115,11154,11961,12946,6308,6638,8647,4150,4497,6510,2897,3613,2458,1262,1196,2081,1066,1015,1956,942,1014,2592,1245,1347,7577,3601,3976,3734,1790,1944,3378,1712,1666,3072,1533,1539,2762,1273,1489,2338,1171,1167,2093,1001,1092,2083,994,1089,2133,984,1149,2107,1027,1080,1896,846,1050,1292,556,736,692,282,410,523,186,337,5198,1576,3117,4548,7656
51,Virginia,2010,8023699,3938126,4085573,510336,260453,249883,922641,470723,451918,421889,216392,205497,803835,411713,392122,6384056,3101089,3282967,6168833,2990558,3178275,3327447,1673017,1654430,2203579,1097030,1106549,2177841,1057101,1120740,983578,424714,558864,510336,260453,249883,512324,260871,251453,512173,261970,250203,550387,281320,269067,573481,294667,278814,566440,285209,281231,530396,264049,266347,537539,267041,270498,569204,280731,288473,620159,304611,315548,594906,289995,304911,516384,248416,267968,446392,214079,232313,322815,152492,170323,231520,106214,125306,174323,75604,98719,131363,51531,79832,123557,38873,84684,1344530,410317,832206,1062560,1854866
51,Virginia,2011,8101155,3978133,4123022,511498,261206,250292,928047,473885,454162,417596,213587,204009,810688,415897,394791,6456912,3138566,3318346,6244014,3029455,3214559,3340857,1680692,1660165,2214975,1103301,1111674,2207712,1071857,1135855,1010639,438400,572239,511498,261206,250292,514396,262095,252301,516053,263883,252170,545410,278869,266541,580472,298522,281950,572754,288436,284318,546692,272475,274217,523807,260278,263529,571722,282112,289610,609749,299554,310195,602838,294666,308172,529599,255028,274571,465526,222609,242917,333144,157464,175680,240293,110500,129793,177283,77248,100035,132427,52628,79799,127492,40560,86932,1345643,413651,831247,1061463,1857141
51,Virginia,2012,8185080,4021074,4164006,511580,260949,250631,934992,477447,457545,415345,212366,202979,816760,419207,397553,6532823,3177575,3355248,6323163,3070312,3252851,3361549,1692247,1669302,2232302,1113415,1118887,2212010,1074178,1137832,1062091,463512,598579,511580,260949,250631,519312,265129,254183,518538,265059,253479,542146,276442,265704,587101,302390,284711,577188,291135,286053,561470,280582,280888,521637,258991,262646,572007,282707,289300,598258,293477,304781,606536,297026,309510,544948,262807,282141,462268,220868,241400,363435,171780,191655,252195,116173,136022,181388,79417,101971,133479,53696,79783,131594,42446,89148,1350337,415680,831025,1060684,1861917
51,Virginia,2013,8252427,4056505,4195922,510086,261018,249068,939075,478957,460118,414585,212080,202505,820062,421847,398215,6596173,3210254,3385919,6388681,3104450,3284231,3375967,1701572,1674395,2245101,1120871,1124230,2218119,1077102,1141017,1105399,484630,620769,510086,261018,249068,522542,266766,255776,520314,265417,254897,537807,273934,263873,593059,306767,286292,580165,293115,287050,572715,286378,286337,525614,261147,264467,566607,280231,286376,583983,286686,297297,609454,298279,311175,557191,268978,288213,467491,223159,244332,380000,179476,200524,269202,124167,145035,186944,82189,104755,134644,54771,79873,134609,44027,90582,1353660,416533,831118,1058121,1863746
51,Virginia,2014,8310993,4086992,4224001,511183,261933,249250,935432,476654,458778,418077,213796,204281,820163,422823,397340,6654132,3240645,3413487,6446301,3134609,3311692,3386239,1708916,1677323,2254119,1126675,1127444,2224097,1080016,1144081,1147922,505095,642827,511183,261933,249250,519225,265004,254221,522327,266028,256299,535536,272820,262716,596584,309421,287163,585336,296164,289172,578896,289931,288965,533354,264967,268387,556533,275613,280920,569999,279969,290030,611427,299495,311932,565413,273185,292228,477258,227367,249891,397268,187498,209770,282522,130135,152387,194232,85924,108308,135638,55553,80085,138262,45985,92277,1353509,416207,834284,1057863,1864692
51,Virginia,2015,8361808,4113945,4247863,512096,262518,249578,934106,475956,458150,420857,215174,205683,814443,420711,393732,6703823,3267413,3436410,6494749,3160297,3334452,3388145,1712315,1675830,2258180,1130006,1128174,2233170,1084778,1148392,1188956,524802,664154,512096,262518,249578,518566,264456,254110,520875,265076,255799,536797,273856,262941,593168,308453,284715,589965,298771,291194,579494,290617,288877,544731,270720,274011,543990,269898,274092,564752,277835,286917,606487,297034,309453,573136,277321,295815,488795,232588,256207,414536,195399,219137,293838,135268,158570,200928,89258,111670,137697,56823,80874,141957,48054,93903,1354963,415540,836397,1057672,1867059
51,Virginia,2016,8410106,4137846,4272260,511954,262269,249685,935638,477134,458504,421436,214923,206513,809096,417924,391172,6753021,3291822,3461199,6541078,3183520,3357558,3388432,1713540,1674892,2261664,1133477,1128187,2239753,1088097,1151656,1230565,544022,686543,511954,262269,249685,517410,263865,253545,521992,266053,255939,539342,274605,264737,587426,305458,281968,593907,301412,292495,581767,292035,289732,557600,277762,279838,528390,262268,266122,565663,278101,287562,594424,290932,303492,579337,281083,298254,500329,237981,262348,431780,202708,229072,303446,139965,163481,208902,92992,115910,140988,58484,82504,145449,49873,95576,1357074,418228,839664,1061334,1869028
51,Virginia,2017,8463587,4165455,4298132,511612,261969,249643,936728,478740,457988,422246,214801,207445,806063,416056,390007,6806930,3318984,3487946,6593001,3209945,3383056,3398844,1720113,1678731,2274775,1142051,1132724,2240089,1088360,1151729,1272074,563478,708596,511612,261969,249643,515402,263110,252292,525566,268425,257141,540606,275157,265449,583463,302905,280558,599801,305175,294626,584225,294090,290135,568044,283561,284483,522705,259225,263480,564301,277643,286658,581647,284189,297458,581124,282288,298836,513017,244240,268777,428745,201021,227724,330855,152619,178236,219678,98055,121623,144329,60214,84115,148467,51569,96898,1358974,421326,843572,1066172,1870586
51,Virginia,2018,8501286,4183261,4318025,509331,260582,248749,935534,478958,456576,421149,214018,207131,802249,413863,388386,6846348,3337104,3509244,6635272,3229703,3405569,3406056,1723572,1682484,2288181,1149399,1138782,2230086,1083639,1146447,1314756,582802,731954,509331,260582,248749,513067,262864,250203,527990,269802,258188,541293,274883,266410,576582,299290,277292,601813,306528,295285,584313,294314,289999,577130,288127,289003,524925,260430,264495,557610,274659,282951,566660,276720,289940,582645,283026,299619,523171,249234,273937,432567,202423,230144,346059,159506,186553,235082,104962,130120,149348,62671,86677,151700,53240,98460,1356683,422467,843616,1069283,1866014
51,Virginia,2019,8535519,4200257,4335262,505477,258463,247014,935080,478632,456448,420291,213743,206548,798197,411799,386398,6884232,3355649,3528583,6674671,3249419,3425252,3416324,1729551,1686773,2302877,1157745,1145132,2214691,1076950,1137741,1358906,602925,755981,505477,258463,247014,514886,263899,250987,525235,268469,256766,541828,274892,266936,571619,296914,274705,601926,307429,294497,588455,296462,291993,581713,290900,290813,530783,262954,267829,547506,270344,277162,552768,269973,282795,584373,284021,300352,530044,252612,277432,440858,206073,234785,361433,166279,195154,246799,110139,136660,155331,65643,89688,154485,54791,99694,1355371,420194,840485,1067063,1860848
51,Virginia,2020,8637615,4271060,4366555,504689,258035,246654,964043,494366,469677,439377,224765,214612,795935,407066,388869,6948477,3405406,3543071,6729506,3293894,3435612,3454508,1747304,1707204,2330114,1172517,1157597,2233015,1099883,1133132,1370442,614428,756014,504689,258035,246654,522583,268066,254517,552378,283344,269034,557948,283556,274392,566446,291231,275215,587689,298574,289115,595145,298987,296158,594950,299386,295564,552330,275570,276760,544308,271988,272320,557750,276216,281534,589543,289763,299780,541414,261916,279498,453322,214476,238846,372984,172961,200023,247801,111181,136620,152774,65037,87737,143561,50773,92788,1403420,441460,880837,1110326,1908109
51,Virginia,2021,8658910,4281664,4377246,494791,253090,241701,957054,490597,466457,443710,227532,216178,798928,408727,390201,6983174,3422907,3560267,6763355,3310445,3452910,3471538,1757528,1714010,2341960,1179384,1162576,2212543,1090130,1122413,1409924,632204,777720,494791,253090,241701,522901,267945,254956,547213,280767,266446,560190,285072,275118,569388,293072,276316,581762,296234,285528,597999,300219,297780,597102,300431,296671,565097,282500,282597,528147,263615,264532,559057,277332,281725,577804,283731,294073,547535,265452,282083,463188,219073,244115,388816,179783,209033,254770,114224,140546,158207,67313,90894,144943,51811,93132,1400764,434153,877863,1107403,1895555
51,Virginia,2022,8683414,4290814,4392600,490300,250807,239493,950533,487091,463442,448400,230071,218329,797707,408412,389295,7015682,3436490,3579192,6794181,3322845,3471336,3484735,1764104,1720631,2352172,1183706,1168466,2192352,1079291,1113061,1451950,651436,800514,490300,250807,239493,523503,267793,255710,540574,277383,263191,562887,287177,275710,569676,293221,276455,575854,292868,282986,601456,301936,299520,598359,300379,297980,576503,288523,287980,522360,260195,262165,556373,276093,280280,563276,276119,287157,550343,266884,283459,474018,224233,249785,385773,177813,207960,279713,125783,153930,165537,70446,95091,146909,53161,93748,1398933,427030,875430,1103461,1889233
51,Virginia,2023,8734685,4314363,4420322,485717,248374,237343,949695,486260,463435,449836,230920,218916,803898,411746,392152,7075544,3465075,3610469,6849437,3348809,3500628,3511206,1777578,1733628,2367156,1191180,1175976,2179484,1072586,1106898,1498899,673297,825602,485717,248374,237343,524823,268150,256673,534556,274378,260178,569576,291033,278543,574474,295365,279109,571677,290925,280752,605539,304134,301405,601361,301007,300354,588579,295114,293465,526512,261737,264775,550428,273160,277268,549470,269336,280134,553074,268353,284721,484734,229356,255378,391477,180330,211147,293388,132146,161242,178009,75933,102076,151291,55532,95759,1399531,424872,874708,1104132,1885248
51,Virginia,2024,8811195,4350566,4460629,482882,246709,236173,951495,486968,464527,449054,230477,218577,814730,417477,397253,7157927,3504617,3653310,6927764,3386412,3541352,3546927,1795608,1751319,2391548,1203221,1188327,2174373,1070267,1104106,1547113,695447,851666,482882,246709,236173,525526,268241,257285,534374,274294,260080,572697,292931,279766,582682,299456,283226,573763,291963,281800,610145,306728,303417,610134,304931,305203,597506,299599,297907,536567,266376,270191,542435,269689,272746,539140,264286,274854,556231,269916,286315,492972,233312,259660,401189,184750,216439,308561,139003,169558,187753,80137,107616,156638,58245,98393,1400549,425969,875023,1107071,1883431
