fips,locality,year,count_felony,count_misdemeanor,count_total
51003,Albemarle,2010,99,404,503
51540,Charlottesville,2010,86,243,329
51,Virginia,2010,14422,41715,56137
51003,Albemarle,2011,68,311,379
51540,Charlottesville,2011,50,206,256
51,Virginia,2011,12130,38811,50941
51003,Albemarle,2012,55,347,402
51540,Charlottesville,2012,49,212,261
51,Virginia,2012,12485,38985,51470
51003,Albemarle,2013,51,281,332
51540,Charlottesville,2013,43,179,222
51,Virginia,2013,10993,35886,46879
51003,Albemarle,2014,44,252,296
51540,Charlottesville,2014,38,149,187
51,Virginia,2014,11156,32852,44008
51003,Albemarle,2015,60,188,248
51540,Charlottesville,2015,44,174,218
51,Virginia,2015,10622,30588,41210
51003,Albemarle,2016,42,219,261
51540,Charlottesville,2016,29,124,153
51,Virginia,2016,10495,27975,38470
51003,Albemarle,2017,38,179,217
51540,Charlottesville,2017,48,131,179
51,Virginia,2017,11136,27353,38489
51003,Albemarle,2018,32,191,223
51540,Charlottesville,2018,25,114,139
51,Virginia,2018,9681,24067,33748
51003,Albemarle,2019,32,158,190
51540,Charlottesville,2019,39,72,111
51,Virginia,2019,8796,22595,31391
51003,Albemarle,2020,35,114,149
51540,Charlottesville,2020,30,81,111
51,Virginia,2020,7185,16682,23867
51003,Albemarle,2021,65,108,173
51540,Charlottesville,2021,40,59,99
51,Virginia,2021,6496,15522,22018
51003,Albemarle,2022,47,79,126
51540,Charlottesville,2022,37,80,117
51,Virginia,2022,6173,15653,21826
51003,Albemarle,2023,87,126,213
51540,Charlottesville,2023,35,95,130
51,Virginia,2023,7332,19161,26493
51003,Albemarle,2024,45,144,189
51540,Charlottesville,2024,32,95,127
51,Virginia,2024,7849,22016,29865
51003,Albemarle,2025,49,112,161
51540,Charlottesville,2025,30,45,75
51,Virginia,2025,7958,21402,29360